Pressure,Flow Rate,expected
17.1,42.7,2
4.5,19.5,1
5.2,22.3,1
3.8,17.5,1
6.4,22.4,1
19,42.9,2
17.1,41.3,2
4.4,19.5,1
19.1,42.4,2
17.9,45.3,2
17.2,43,2
5.7,21.9,1
3.9,16.9,1
4.1,17.6,1
6.4,22.1,1
18,43.1,2
17.7,41.5,2
4.1,17,1
6.9,23.5,1
4.1,17.7,1
4,16.9,1
6.8,23.6,1
4.6,19,1
4,16.9,1
18.8,42.8,2
4.3,18.1,1
17.4,43.6,2
4,17.3,1
6.3,22,1
6.8,23.6,1
17.2,43,2
6.8,23.3,1
17.4,43,2
5.8,21.6,1
17.5,44,2
5,22.4,1
4.1,17.9,1
19.6,42.6,2
6.8,23.3,1
3.8,17.7,1
17.3,43,2
5.5,22.5,1
4,17.8,1
17.8,37.8,2
4.2,17.2,1
6.7,23.2,1
4.1,17.3,1
19.3,42.7,2
17.4,39,2
18.8,42.8,2
5,19.4,1
3.8,17.6,1
4.4,18.4,1
18.8,39.5,2
17.4,43.9,2
19.2,42.6,2
5.5,22.8,1
4.1,17.3,1
17.5,42.5,2
17.5,43.9,2
17.8,43.9,2
4.5,19.6,1
4.4,19.1,1
17.4,44.2,2
17.5,44.3,2
4.2,17.5,1
4.1,17.1,1
17.3,42.8,2
4.9,19.6,1
17.1,43.1,2
17.8,38.7,2
4,17,1
18.7,41.8,2
19,42.5,2
5.8,21.8,1
4,17.5,1
17.1,42.9,2
17.9,38.2,2
4.2,17.7,1
18,41.4,2
4.2,18.5,1
17.2,44,2
4.5,19.5,1
4.2,18.3,1
6,21.8,1
4.1,17.6,1
6.1,21.8,1
4.2,18.1,1
4.1,17.5,1
4.1,17.4,1
18.3,41.6,2
17.4,43,2
3.8,17.6,1
4.1,17.7,1
4.2,19.2,1
3.8,17.7,1
4.2,19.2,1
4.1,17.3,1
5.7,21.3,1
17.2,43.2,2
4.7,19.5,1
5.7,21.9,1
17.2,43.1,2
17.5,44.4,2
17.8,45.2,2
18.8,42.1,2
4.6,19.3,1
4,18,1
4.1,17.7,1
17.2,43.2,2
17.1,42.4,2
3.9,17.7,1
4.4,18.7,1
18.1,42.8,2
4.2,18.6,1
19.2,42.3,2
5.3,22.2,1
18,42.5,2
18.7,42.1,2
18.1,42.9,2
4.3,18.9,1
3.9,17.6,1
4.1,17.7,1
17.2,43,2
4.1,18.5,1
5.1,19.8,1
4.3,18.4,1
17.3,43.4,2
6.3,22.1,1
18,42.7,2
17.4,42.9,2
17.7,45.3,2
4.2,17.4,1
5.6,22.8,1
4,17.4,1
19,42.4,2
4.9,19.6,1
18.6,42.8,2
17.4,43.2,2
18.1,43.1,2
17.2,44,2
4.5,18.8,1
17.3,44,2
18.9,43.2,2
17.3,43.6,2
18.9,39.8,2
17.9,38.8,2
4.2,18.7,1
18.6,42.9,2
17.9,43.6,2
17.5,43.9,2
6.3,22.1,1
19.3,42.6,2
18.7,42.1,2
19.4,42.6,2
6.3,22,1
19.2,42.1,2
19,42.9,2
17.8,43,2
4.6,19.5,1
4.1,17.2,1
18.7,38.5,2
4.4,18.5,1
18.3,42.8,2
4.2,19.1,1
4.5,19.5,1
17.7,42.8,2
4,17.9,1
17.7,42.6,2
4.5,19.6,1
18.6,41.6,2
17.1,42.4,2
4.1,17.4,1
4.1,17,1
17.6,45.4,2
4,17.4,1
6.4,21.9,1
17.3,44,2
4,17.9,1
4.2,17.4,1
6,21.8,1
17.4,43.7,2
4.1,17.6,1
18.3,41.4,2
17.7,44.7,2
4,17.2,1
4.2,18.2,1
18.6,43.1,2
18,43.3,2
18.6,39.6,2
5.4,22.5,1
4.2,17.1,1
4.4,19.5,1
4.3,18.4,1
17.2,42.9,2
17.4,42.2,2
17.8,43.7,2
17.7,42.5,2
17.3,42.7,2
17.8,42.5,2
